tfbh,ident,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-08T08:00:00,146.1,4.6,TS,8,18,西北,10.0,998,200.0,0.0,0.0,"{'ne': 200, 'se': 180, 'sw': 150, 'nw': 180}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-08T14:00:00,145.9,4.9,TS,8,18,西北,8.0,998,200.0,0.0,0.0,"{'ne': 200, 'se': 180, 'sw': 150, 'nw': 180}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-08T17:00:00,145.3,5.7,TS,8,20,西北,13.0,995,250.0,0.0,0.0,"{'ne': 250, 'se': 200, 'sw': 180, 'nw': 200}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-08T20:00:00,144.9,5.9,TS,8,20,西北,15.0,995,250.0,0.0,0.0,"{'ne': 250, 'se': 200, 'sw': 180, 'nw': 200}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-09T02:00:00,144.5,6.4,TS,8,20,西北,20.0,995,250.0,0.0,0.0,"{'ne': 250, 'se': 200, 'sw': 180, 'nw': 200}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-09T05:00:00,144.3,6.7,TS,8,20,西北,20.0,995,250.0,0.0,0.0,"{'ne': 250, 'se': 200, 'sw': 180, 'nw': 200}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-09T08:00:00,143.9,6.9,TS,8,20,西北,20.0,995,250.0,0.0,0.0,"{'ne': 250, 'se': 200, 'sw': 180, 'nw': 200}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-09T14:00:00,143.6,7.2,TS,8,20,西北,21.0,995,250.0,0.0,0.0,"{'ne': 250, 'se': 200, 'sw': 180, 'nw': 200}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-09T17:00:00,143.2,7.7,TS,8,20,西北,25.0,995,250.0,0.0,0.0,"{'ne': 250, 'se': 200, 'sw': 180, 'nw': 200}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-09T20:00:00,142.6,8.2,TS,9,23,西北,31.0,990,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-10T02:00:00,141.3,9.4,TS,9,23,西北,31.0,990,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-10T05:00:00,140.7,10.1,TS,9,23,西北,26.0,990,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-10T08:00:00,139.8,10.6,TS,9,23,西北,25.0,990,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-10T14:00:00,138.8,11.3,STS,10,25,西西北,20.0,985,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-10T17:00:00,138.0,11.8,STS,10,25,西西北,17.0,985,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-10T20:00:00,137.3,11.9,STS,10,25,西北,17.0,985,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-11T02:00:00,136.8,12.1,STS,10,25,西北,15.0,985,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-11T05:00:00,136.5,12.3,STS,10,25,北西北,18.0,985,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-11T08:00:00,136.3,12.3,STS,10,25,北西北,19.0,985,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-11T14:00:00,136.0,12.9,STS,10,25,北西北,16.0,985,280.0,0.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-11T17:00:00,135.9,13.3,STS,10,28,北西北,16.0,982,280.0,50.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 50, 'se': 50, 'sw': 50, 'nw': 50}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-11T20:00:00,135.8,13.7,STS,10,28,北西北,16.0,982,280.0,50.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 50, 'se': 50, 'sw': 50, 'nw': 50}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-12T02:00:00,135.6,14.4,STS,10,28,北西北,14.0,982,280.0,50.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 50, 'se': 50, 'sw': 50, 'nw': 50}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-12T05:00:00,135.5,14.7,STS,11,30,北西北,13.0,980,280.0,50.0,0.0,"{'ne': 240, 'se': 200, 'sw': 220, 'nw': 280}","{'ne': 50, 'se': 50, 'sw': 50, 'nw': 50}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
202201,202201,马勒卡,Malakas,0,2022-04-08T08:00:00,2022-04-15T17:00:00,[],2022-04-12T08:00:00,135.5,15.3,TY,12,33,北东北,10.0,975,280.0,80.0,0.0,"{'ne': 260, 'se': 240, 'sw': 220, 'nw': 280}","{'ne': 80, 'se': 80, 'sw': 80, 'nw': 80}","{'ne': 0, 'se': 0, 'sw': 0, 'nw': 0}",,
